bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
24520,The Complete Aubrey/Maturin Novels (5 Volumes),Patrick O'Brian,4.7,039306011X,9.78E+12,eng,6576,1338,81,38277,W. W. Norton & Company (1)
25587,The Second World War,Winston S. Churchill/John Keegan,4.45,039541685X,9.78E+12,eng,4736,1493,99,31541,Mariner Books
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9.78E+12,eng,3342,28242,808,38607,Scholastic
25709,Summa Theologica  5 Vols,Thomas Aquinas,4.12,870610635,9.78E+12,eng,3020,2734,84,29587,Christian Classics
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPrÃ©,4.78,439682584,9.78E+12,eng,2690,41428,164,38243,Scholastic
43888,The Sword of Truth  Boxed Set I: Wizard's First Rule  Blood of the Fold  Stone of Tears (Sword of Truth  #1-3),Terry Goodkind,4.29,812575601,9.78E+12,en-US,2480,4196,81,36114,Tor Books
20749,Study Bible: NIV,Anonymous,4.7,310929555,9.78E+12,eng,2198,4166,186,37530,Zondervan Publishing House
3579,The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  #1-8),L.M. Montgomery,4.43,553609416,76783609419,eng,2088,98611,1447,36074,Starfire
3582,The New Annotated Sherlock Holmes: The Complete Short Stories,Arthur Conan Doyle/Leslie S. Klinger,4.64,393059162,9.78E+12,eng,1878,1411,54,38321,W. W. Norton & Company (2)
9462,Plato: Complete Works,Plato/John M. Cooper/Benjamin Jowett/Dorothea Frede/Alexander Nehamas/Paul Woodruff/Anthony Kenny/Rosamond Kent Sprague/Nicholas D. Smith/Karen Bell/D.S. Hutchinson/Donald J. Zeyl/Francisco J. GonzÃ¡lez/Diskin Clay/Malcolm Schofield/Glenn R. Morrow/Jonathan Barnes/G.M.A. Grube/Brad Inwood/Mark Joyal/Jackson P. Hershbell/J.M. Edmonds/C.D.C. Reeve/Myles Burnyeat/Nicholas P. White/Mary Louise Gill/C.J. Rowe/Stanley Lombardo/David Gallop/Jeffrey Mitscherling/Richard D. McKiharan Jr./Andrew S. Becker/Mark Reuter/M.J. Levett/Paul        Ryan,4.35,872203492,9.78E+12,eng,1838,9284,133,35551,Hackett Publishing Company  Inc.
19082,The Complete Works: The Revised Oxford Translation  Vol. 1,Aristotle/Jonathan Barnes,4.43,691099502,9.78E+12,eng,1757,2318,17,30926,Bollingen/Princeton University Press (NJ)
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9.78E+12,eng,1728,101233,1550,41177,Ballantine Books
1375,The Iliad/The Odyssey,Homer/Robert Fagles/Bernard Knox,4.04,147712556,9.78E+12,eng,1556,54939,380,36465,Penguin Classics
11656,Rabbit Angstrom: The Four Novels,John Updike,4.26,679444599,9.78E+12,eng,1520,1512,148,34989,Everyman's Library
9438,The Basic Works of Aristotle,Aristotle/Richard Peter McKeon/C.D.C. Reeve,4.24,375757996,9.78E+12,eng,1487,2174,51,40044,Modern Library/Random House (NY)
24284,Les MisÃ©rables,Victor Hugo/Charles E. Wilbour/Peter Washington,4.17,375403175,9.78E+12,eng,1480,8004,474,35885,Everyman's Library
7131,The Count of Monte Cristo,Alexandre Dumas/Lorenzo Carcaterra,4.25,037576030X,9.78E+12,eng,1462,9921,586,37418,Modern Library
24812,The Complete Calvin and Hobbes,Bill Watterson,4.82,740748475,9.78E+12,eng,1456,32213,930,38601,Andrews McMeel Publishing
10967,The Fiery Cross (Outlander  #5),Diana Gabaldon/Janos Farkas,4.27,440221668,9.78E+12,eng,1443,128901,5294,38594,Dell
3733,Redburn / White-Jacket / Moby-Dick,Herman Melville/G. Thomas Tanselle,4.2,940450097,9.78E+12,eng,1436,1031,72,30421,Library of America
18241,War and Peace,Leo Tolstoy/Anthony Briggs/Orlando Figes,4.11,067003469X,9.78E+12,eng,1412,1228,93,38736,Viking Adult
19807,The Glory and the Dream: A Narrative History of America 1932-72,William Manchester,4.43,553345893,9.78E+12,eng,1397,1429,115,30864,Little  Brown & Company (Boston/Toronto)
656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,192833987,9.78E+12,eng,1392,211671,6245,35971,Oxford University Press
40631,Europe: A History,Norman Davies,4.17,60974680,9.78E+12,eng,1392,3394,163,35815,Harper Perennial
