publication_date,day,month,year
9/6/2006,6,9,2006
8/15/2002,15,8,2002
1/30/2001,30,1,2001
4/1/2006,1,4,2006
5/1/2004,1,5,2004
6/2/1999,2,6,1999
9/1/2004,1,9,2004
9/5/2003,5,9,2003
5/6/2003,6,5,2003
9/16/2006,16,9,2006
10/1/1999,1,10,1999
1/1/2004,1,1,2004
3/1/2006,1,3,2006
1/8/2002,8,1,2002
3/28/2006,28,3,2006
5/1/1993,1,5,1993
1/24/2006,24,1,2006
3/14/2006,14,3,2006
4/6/2004,6,4,2004
2/4/2003,4,2,2003
2/1/2007,1,2,2007
11/15/2005,15,11,2005
10/1/2001,1,10,2001
5/1/2007,1,5,2007
9/1/1998,1,9,1998
7/5/2004,5,7,2004
5/18/2004,18,5,2004
12/31/2002,31,12,2002
1/28/2003,28,1,2003
1/12/1999,12,1,1999
4/1/1999,1,4,1999
2/1/2005,1,2,2005
7/1/1980,1,7,1980
9/2/2000,2,9,2000
1/17/2006,17,1,2006
1/20/1997,20,1,1997
5/12/1986,12,5,1986
9/1/1998,1,9,1998
11/30/2006,30,11,2006
6/1/2004,1,6,2004
5/30/2006,30,5,2006
7/15/2003,15,7,2003
7/26/2005,26,7,2005
2/28/2006,28,2,2006
5/27/2003,27,5,2003
5/28/2002,28,5,2002
1/7/2002,7,1,2002
4/1/2006,1,4,2006
10/17/2006,17,10,2006
5/3/2004,3,5,2004
5/6/2003,6,5,2003
7/5/2005,5,7,2005
2/27/2003,27,2,2003
8/1/2005,1,8,2005
9/26/2006,26,9,2006
11/4/2003,4,11,2003
9/5/2003,5,9,2003
7/1/2013,1,7,2013
9/21/2006,21,9,2006
6/2/2005,2,6,2005
9/1/2004,1,9,2004
5/6/2003,6,5,2003
6/1/1998,1,6,1998
2/15/2000,15,2,2000
9/16/2003,16,9,2003
5/30/2006,30,5,2006
9/23/2003,23,9,2003
2/8/2005,8,2,2005
10/30/2006,30,10,2006
12/31/2002,31,12,2002
11/1/2005,1,11,2005
6/1/2004,1,6,2004
4/4/2006,4,4,2006
4/1/2004,1,4,2004
3/18/2004,18,3,2004
4/3/2007,3,4,2007
8/31/2004,31,8,2004
11/9/2004,9,11,2004
11/1/1988,1,11,1988
2/11/2003,11,2,2003
10/18/2005,18,10,2005
8/29/2006,29,8,2006
5/1/2007,1,5,2007
10/17/2005,17,10,2005
3/4/2005,4,3,2005
12/1/2000,1,12,2000
8/31/2010,31,8,2010
9/12/2006,12,9,2006
8/1/2003,1,8,2003
3/24/2005,24,3,2005
3/16/2010,16,3,2010
9/7/2004,7,9,2004
9/1/1998,1,9,1998
10/19/1999,19,10,1999
6/1/2004,1,6,2004
10/7/2002,7,10,2002
5/30/2006,30,5,2006
9/2/2003,2,9,2003
4/25/2006,25,4,2006
5/1/2005,1,5,2005
4/4/2006,4,4,2006
12/27/2005,27,12,2005
9/10/2002,10,9,2002
10/5/2003,5,10,2003
6/1/2005,1,6,2005
8/1/1999,1,8,1999
10/1/2003,1,10,2003
9/15/2001,15,9,2001
2/7/2002,7,2,2002
12/26/2006,26,12,2006
9/1/2001,1,9,2001
2/21/2006,21,2,2006
7/1/2000,1,7,2000
6/28/1998,28,6,1998
3/25/2003,25,3,2003
4/29/1999,29,4,1999
8/29/2006,29,8,2006
9/16/1993,16,9,1993
5/22/2001,22,5,2001
6/1/2006,1,6,2006
6/8/2004,8,6,2004
11/22/2005,22,11,2005
1/23/2007,23,1,2007
1/1/2001,1,1,2001
1/1/2004,1,1,2004
9/1/1996,1,9,1996
3/5/2007,5,3,2007
4/1/2000,1,4,2000
4/2/2002,2,4,2002
5/20/2005,20,5,2005
2/24/1998,24,2,1998
9/6/2005,6,9,2005
6/1/2001,1,6,2001
11/1/2005,1,11,2005
10/1/1991,1,10,1991
4/25/2006,25,4,2006
4/30/2002,30,4,2002
10/27/2009,27,10,2009
9/12/2000,12,9,2000
9/14/2004,14,9,2004
8/29/2006,29,8,2006
6/1/1996,1,6,1996
9/12/2006,12,9,2006
9/1/1998,1,9,1998
9/13/2005,13,9,2005
2/26/2002,26,2,2002
6/1/2004,1,6,2004
9/9/2003,9,9,2003
5/22/2000,22,5,2000
1/11/2005,11,1,2005
12/1/1952,1,12,1952
4/25/2006,25,4,2006
11/1/2005,1,11,2005
4/13/2004,13,4,2004
8/29/2006,29,8,2006
6/1/1998,1,6,1998
1/3/2006,3,1,2006
8/7/2001,7,8,2001
5/30/2006,30,5,2006
8/2/2005,2,8,2005
7/1/2001,1,7,2001
10/1/2003,1,10,2003
9/1/2004,1,9,2004
6/25/1998,25,6,1998
11/1/2005,1,11,2005
6/12/2001,12,6,2001
3/1/2003,1,3,2003
2/6/2003,6,2,2003
9/1/2006,1,9,2006
9/1/1996,1,9,1996
9/22/2005,22,9,2005
4/14/2003,14,4,2003
11/1/1991,1,11,1991
10/28/2003,28,10,2003
1/1/2007,1,1,2007
12/1/1999,1,12,1999
3/4/2009,4,3,2009
8/7/2001,7,8,2001
6/6/2006,6,6,2006
10/18/2006,18,10,2006
3/12/2002,12,3,2002
10/21/2002,21,10,2002
1/30/2003,30,1,2003
6/1/2003,1,6,2003
12/30/2003,30,12,2003
3/21/2006,21,3,2006
6/14/2002,14,6,2002
7/1/2001,1,7,2001
8/15/1994,15,8,1994
7/5/2005,5,7,2005
12/9/2003,9,12,2003
9/1/2000,1,9,2000
3/7/2002,7,3,2002
8/2/2000,2,8,2000
5/5/2006,5,5,2006
6/25/2002,25,6,2002
1/1/2010,1,1,2010
9/14/2002,14,9,2002
1/9/2007,9,1,2007
8/15/1984,15,8,1984
12/1/2007,1,12,2007
3/26/2002,26,3,2002
6/13/2001,13,6,2001
10/28/2002,28,10,2002
9/30/2003,30,9,2003
10/10/2005,10,10,2005
8/5/2003,5,8,2003
12/1/1998,1,12,1998
5/1/1992,1,5,1992
1/30/2003,30,1,2003
5/1/2002,1,5,2002
4/9/2001,9,4,2001
8/2/2005,2,8,2005
1/30/2001,30,1,2001
7/4/2006,4,7,2006
4/26/2005,26,4,2005
11/15/2004,15,11,2004
4/25/2006,25,4,2006
8/25/2001,25,8,2001
5/15/1987,15,5,1987
3/8/2004,8,3,2004
8/1/2001,1,8,2001
2/25/2003,25,2,2003
1/8/2002,8,1,2002
8/19/2004,19,8,2004
2/13/2001,13,2,2001
8/31/2004,31,8,2004
8/18/2004,18,8,2004
3/7/2006,7,3,2006
9/1/1996,1,9,1996
4/1/2005,1,4,2005
1/1/2004,1,1,2004
11/15/2002,15,11,2002
5/9/2006,9,5,2006
9/27/2005,27,9,2005
10/15/1993,15,10,1993
4/1/2005,1,4,2005
2/13/2007,13,2,2007
10/27/2005,27,10,2005
4/21/2005,21,4,2005
6/1/2003,1,6,2003
6/23/2003,23,6,2003
8/31/2004,31,8,2004
9/5/2006,5,9,2006
10/28/2003,28,10,2003
6/1/2004,1,6,2004
11/1/2004,1,11,2004
4/1/2002,1,4,2002
9/9/2008,9,9,2008
4/12/2004,12,4,2004
8/7/2001,7,8,2001
6/22/2006,22,6,2006
6/13/2006,13,6,2006
4/10/2001,10,4,2001
5/19/2004,19,5,2004
4/1/1998,1,4,1998
10/17/2002,17,10,2002
7/1/2004,1,7,2004
9/6/2006,6,9,2006
2/25/2003,25,2,2003
3/1/2002,1,3,2002
9/1/2005,1,9,2005
5/25/2004,25,5,2004
4/27/2004,27,4,2004
9/26/2006,26,9,2006
9/2/2002,2,9,2002
5/19/2002,19,5,2002
9/25/2000,25,9,2000
9/6/2005,6,9,2005
6/1/2006,1,6,2006
4/3/2012,3,4,2012
5/22/2000,22,5,2000
8/1/2003,1,8,2003
7/5/2005,5,7,2005
8/30/2005,30,8,2005
1/1/2005,1,1,2005
4/18/2004,18,4,2004
2/16/1995,16,2,1995
10/17/2006,17,10,2006
2/1/2006,1,2,2006
10/24/2006,24,10,2006
8/1/2005,1,8,2005
6/1/2004,1,6,2004
12/1/2002,1,12,2002
4/1/2005,1,4,2005
7/15/1998,15,7,1998
4/1/1982,1,4,1982
1/6/2004,6,1,2004
11/29/1997,29,11,1997
9/1/2006,1,9,2006
2/13/2007,13,2,2007
4/30/2002,30,4,2002
7/11/2006,11,7,2006
3/1/1989,1,3,1989
7/15/1996,15,7,1996
1/1/2001,1,1,2001
12/31/2002,31,12,2002
6/1/2004,1,6,2004
2/28/2005,28,2,2005
6/15/1999,15,6,1999
6/7/2006,7,6,2006
9/1/1992,1,9,1992
3/6/2001,6,3,2001
8/3/2004,3,8,2004
2/4/2002,4,2,2002
5/11/2004,11,5,2004
9/26/2006,26,9,2006
2/27/2003,27,2,2003
4/10/2007,10,4,2007
7/4/1994,4,7,1994
10/1/1999,1,10,1999
1/30/2001,30,1,2001
11/30/2001,30,11,2001
10/2/2003,2,10,2003
5/3/2005,3,5,2005
12/1/1999,1,12,1999
5/9/2006,9,5,2006
2/27/2007,27,2,2007
4/1/2003,1,4,2003
10/7/1990,7,10,1990
5/17/2006,17,5,2006
9/13/2005,13,9,2005
9/3/2002,3,9,2002
2/1/2001,1,2,2001
11/5/2002,5,11,2002
11/15/1995,15,11,1995
6/15/2001,15,6,2001
9/2/2003,2,9,2003
10/24/2006,24,10,2006
2/4/2003,4,2,2003
3/25/2003,25,3,2003
2/27/2003,27,2,2003
10/4/1999,4,10,1999
4/25/2006,25,4,2006
11/15/1997,15,11,1997
4/12/1997,12,4,1997
12/30/2003,30,12,2003
3/6/2007,6,3,2007
8/29/2006,29,8,2006
12/31/2002,31,12,2002
2/27/2003,27,2,2003
6/17/2002,17,6,2002
7/12/1988,12,7,1988
5/23/2006,23,5,2006
9/1/2006,1,9,2006
1/30/2003,30,1,2003
6/12/2001,12,6,2001
6/16/2003,16,6,2003
9/25/2012,25,9,2012
1/1/2005,1,1,2005
2/15/1999,15,2,1999
12/27/2004,27,12,2004
7/1/2004,1,7,2004
6/24/2004,24,6,2004
10/6/1998,6,10,1998
3/7/2000,7,3,2000
5/2/2006,2,5,2006
7/15/1987,15,7,1987
4/26/2005,26,4,2005
2/25/2003,25,2,2003
4/10/2003,10,4,2003
3/29/2005,29,3,2005
5/13/1993,13,5,1993
7/15/2003,15,7,2003
2/5/2002,5,2,2002
8/25/2009,25,8,2009
6/5/2004,5,6,2004
