bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
26591,Ancient Greece and the Olympics (Magic Tree House Research Guide  #10),Mary Pope Osborne/Natalie Pope Boyce/Salvatore Murdocca,4.05,375823786,9.78038E+12,eng,119,1073,30,6/8/2004,Random House Books for Young Readers
31649,James & The Giant Peach (Disney's),Roald Dahl/Karey Kirkpatrick/Lane Smith,4.03,140382976,9.78014E+12,eng,48,1073,32,7/4/1996,Puffin
24307,The Pen Is Mightier Than The Sword (The Amazing Days of Abby Hayes  #6),Anne Mazer/Monica Gesue,3.96,439178827,9.78044E+12,eng,128,1072,20,12/1/2001,Scholastic Paperbacks
31185,Inside the Mind of Gideon Rayburn (Midvale Academy  #1),Sarah Miller,3.39,312333757,9.78031E+12,eng,289,1072,90,5/2/2006,St. Martin's Griffin
23037,Heavy Water and Other Stories,Martin Amis,3.39,037570115X,9.78038E+12,eng,208,1071,49,3/14/2000,Vintage
7034,In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6),Alexander McCall Smith,4.08,140007570X,9.7814E+12,eng,256,1070,73,3/14/2006,Anchor
25812,The Ruby Ring,Diane Haeger,3.7,1400051738,9.7814E+12,eng,371,1070,70,4/5/2005,Broadway Books
25772,From the Age of Discovery to a World at War (America: The Last Best Hope #1),William J. Bennett,4.24,1595550550,9.7816E+12,eng,573,1069,132,5/23/2006,Nelson Current
42278,I Can Fly,Ruth Krauss/Mary Blair,4.24,307001466,9.78031E+12,eng,24,1069,70,9/9/2003,Golden Books
11278,Hardcase (Joe Kurtz  #1),Dan Simmons,3.68,312980167,9.78031E+12,en-US,291,1067,61,8/19/2002,Minotaur Books
11262,Absolute Truths (Starbridge  #6),Susan Howatch,4.34,517170779,9.78052E+12,eng,672,1066,52,8/14/1996,Random House Value Publishing
40139,Gone Bamboo,Anthony Bourdain,3.48,1841953679,9.78184E+12,eng,286,1066,74,5/1/2002,Canongate Books
24751,Greasy Lake & Other Stories,T. Coraghessan Boyle,3.94,140077812,9.78014E+12,eng,240,1065,52,5/6/1986,Penguin Books
17673,The Anthropology of Turquoise: Reflections on Desert  Sea  Stone  and Sky,Ellen Meloy,4.04,375708138,9.78038E+12,eng,336,1063,159,7/8/2003,Vintage
40997,Soldier of Sidon (Latro #3),Gene Wolfe,4.01,765316641,9.78077E+12,eng,320,1063,60,10/31/2006,Tor Books
