month,average_rating
9,3.59
8,4.27
1,3.8
4,3.89
5,4.56
6,4.42
9,4.49
9,4.36
5,3.93
9,4.57
10,3.68
1,3.74
3,4.25
1,3.87
3,3.84
5,3.86
1,4.13
3,4.37
4,4.07
2,4.12
2,3.55
11,4.11
10,4.17
5,4.09
9,3.99
7,4.09
5,3.88
12,3.82
1,4.05
1,4.07
4,4.29
2,4.07
7,4.22
9,3.96
1,4.27
1,3.98
5,3.99
9,4.13
11,3.76
6,4.08
5,3.74
7,4.26
7,4.23
2,3.91
5,4.25
5,4.41
1,3.97
4,4.24
10,3.97
5,4.26
5,4.25
7,4.06
2,3.4
8,4.02
9,3.97
11,3.64
9,4.44
7,3.9
9,3.92
6,4.13
9,4.17
5,4
6,4.31
2,4.01
9,4
5,3.67
9,3.93
2,3.86
10,4.03
12,4.21
11,4.17
6,3.85
4,4.02
4,4.2
3,4.14
4,3.93
8,3.99
11,4.1
11,4.16
2,3.99
10,4.13
8,4.06
5,3.8
10,4.19
3,4.11
12,4.07
8,3.82
9,4.01
8,4.11
3,4.02
3,4
9,4.03
9,3.98
10,4.17
6,4.16
10,4.34
5,4.26
9,4.17
4,4
5,4.12
4,3.98
12,3.84
9,4.01
10,3.91
6,3.88
8,3.69
10,3.42
9,3.83
2,3.8
12,4.06
9,3.96
2,4.07
7,3.96
6,3.88
3,3.58
4,3.86
8,4.08
9,3.95
5,4.06
6,4.36
6,3.83
11,4.11
1,4.28
1,3.86
1,3.89
9,3.87
3,4.12
4,3.72
4,3.72
5,4.08
2,4.35
9,4.2
6,3.99
11,3.98
10,3.92
4,3.98
4,4.38
10,4.1
9,4.03
9,4.21
8,4.01
6,4.32
9,3.96
9,4.17
9,4
2,4.2
6,4.19
9,4.09
5,4.04
1,3.97
12,3.98
4,3.83
11,4.25
4,4.1
8,3.97
6,4.02
1,4.14
8,4.32
5,3.91
8,3.93
7,3.78
10,4.08
9,3.99
6,4.11
11,3.85
6,3.67
3,3.96
2,3.78
9,3.86
9,4.44
9,3.65
4,4.13
11,4.34
10,3.89
1,4.18
12,3.96
3,3.98
8,4.39
6,3.71
10,3.9
3,3.82
10,3.99
1,3.57
6,3.81
12,4.02
3,3.93
6,4.32
7,4.11
8,4.07
7,3.74
12,3.79
9,3.83
3,4.18
8,4.03
5,4.08
6,4.05
1,4.23
9,4.25
1,4.07
8,4.38
12,4.23
3,4.24
6,3.77
10,3.79
9,3.57
10,4.43
8,4.23
12,4.24
5,4.14
1,3.49
5,3.63
4,3.98
8,4.08
1,3.98
7,4.07
4,4.2
11,3.92
4,3.77
8,4.18
5,4.01
3,4.03
8,4.29
2,3.87
1,3.46
8,4.13
2,3.68
8,4.07
8,4.17
3,4.35
9,3.71
4,4.11
1,3.91
11,3.99
5,3.77
9,3.94
10,4.24
4,4.15
2,4.16
10,3.99
4,4.13
6,4.28
6,4.24
8,4.17
9,4.45
10,3.59
6,4.25
11,3.98
4,3.88
9,4.04
4,4.02
8,4.35
6,3.7
6,3.72
4,4
5,4.22
4,4.19
10,3.68
7,3.98
9,3.9
2,3.94
3,3.63
9,3.7
5,4.25
4,4.09
9,4.28
9,3.79
5,4.31
9,3.82
9,4.03
6,3.7
4,3.55
5,4.15
8,4.17
7,4.16
8,4.27
1,3.91
4,3.79
2,4.35
10,3.75
2,4.18
10,4.06
8,3.99
6,4.22
12,4.1
4,4.03
7,4.15
4,4.16
1,4.1
11,3.89
9,4.05
2,3.89
4,4.01
7,4.14
3,3.97
7,3.79
1,3.98
12,3.97
6,4.26
2,3.82
6,4.17
6,4.1
9,3.51
3,4.22
8,4.02
2,4.13
5,4.44
9,4.1
2,3.82
4,4.11
7,4.16
10,3.87
1,4.19
11,4.36
10,4.55
5,4.5
12,3.63
5,4.07
2,3.79
4,3.74
10,3.77
5,3.92
9,4.03
9,3.64
2,4.18
11,4.05
11,4.13
6,4.19
9,4.15
10,3.5
2,3.99
3,3.61
2,4
10,4.11
4,3.86
11,4.04
4,4.28
12,3.61
3,4.3
8,4.44
12,3.99
2,3.94
6,4.16
7,4.01
5,4.15
9,4.24
1,3.79
6,3.77
6,4.17
9,4.59
1,4.26
2,3.88
12,3.76
7,4.04
6,3.96
10,4.43
3,4.1
5,3.91
7,3.88
4,3.92
2,3.91
4,4.05
3,4.23
5,3.96
7,3.9
2,4.04
8,4.11
6,4.17
8,3.78
4,4.11
4,4.18
3,4.09
3,4.17
8,3.91
1,4.09
3,3.85
6,4.16
1,4.43
2,3.79
2,3.97
10,3.92
10,4.17
3,4.07
4,3.83
10,4.18
12,3.86
9,4.18
10,4
9,4.12
11,4.11
4,3.68
2,4.28
11,3.81
5,3.98
6,3.84
9,3.73
6,3.45
2,4
11,3.69
1,3.94
3,4.07
6,4.22
8,4.07
5,4.04
8,4.05
10,4.34
6,4.12
3,3.82
1,4.13
3,4.26
6,4.07
8,3.76
2,4.24
6,4.12
11,4.25
4,4.15
10,3.92
6,4.05
8,4.29
11,4.25
9,4.04
9,4.43
6,4.15
1,4.15
5,4.15
5,3.91
1,4.14
5,3.7
10,4.16
1,4.01
11,4.12
9,4.05
1,4
5,4.04
3,3.52
10,3.83
5,3.98
4,3.59
1,4.17
5,4.02
1,4.24
9,3.98
4,4.03
10,3.9
2,4.26
4,4.23
12,4.19
11,3.66
12,3.73
12,3.74
8,3.88
6,3.55
8,3.99
6,3.7
5,3.84
7,3.74
6,4.06
1,4.06
3,3.75
3,3.95
8,4.26
1,4.17
9,4.09
11,3.97
2,4.13
5,4.16
5,4.07
1,4.28
9,3.78
4,3.87
5,3.73
1,4.19
11,4.18
6,4.12
5,3.76
9,4.32
4,3.83
5,4.19
8,3.75
5,3.57
12,3.64
8,4.25
8,4.02
5,3.91
11,4.2
10,3.97
9,4.01
3,3.91
9,4.35
4,4.17
1,3.95
4,3.95
12,3.87
12,3.81
9,3.82
3,3.13
4,3.8
12,3.68
2,3.7
2,4.06
8,4.12
12,3.4
1,4.18
8,3.82
1,4.14
10,3.83
7,3.9
9,4.01
2,4.37
10,4.36
7,4.2
5,4.03
1,3.46
7,4.14
10,4.16
4,4.04
7,3.78
12,3.95
10,4.04
5,3.42
9,3.61
5,3.71
3,4
1,3.42
5,4.15
7,4.2
5,3.99
10,4.22
5,4.22
3,4.12
10,4.08
6,4.05
8,4.21
3,4.44
12,3.85
9,4.01
5,4.09
4,4.28
4,4.05
8,3.98
8,4.11
3,4.05
10,3.89
10,4.11
6,4.07
8,3.83
1,3.81
8,4.06
7,3.73
10,4.03
6,4.32
9,3.78
10,4.12
10,3.97
8,3.84
6,3.83
9,3.95
2,3.94
12,3.78
9,4.18
11,4.11
5,3.69
9,4.17
10,4.23
6,4.29
5,3.84
6,4
9,3.91
7,3.74
12,3.87
4,4.13
11,3.5
10,3.76
10,3.68
3,4.09
7,3.57
9,3.69
9,4.08
12,3.93
8,3.96
7,4.22
10,4.43
4,3.08
6,4.09
12,4.05
8,4.24
10,3.69
4,4.19
10,4.15
6,4.08
2,4.08
1,3.95
5,3.69
10,4.02
3,3.72
10,3.96
6,3.58
1,3.88
6,3.87
8,3.68
1,4.07
5,4.02
9,4.05
5,3.81
1,3.95
4,4.29
11,3.38
4,3.92
4,4.06
6,3.96
11,4.04
10,3.96
11,3.9
4,4.25
