month,text_reviews_count
9,94265
8,32871
1,43499
4,21303
5,36325
6,34692
9,29221
9,13670
5,29677
9,27591
10,26199
1,14637
3,47951
1,25554
3,35877
5,55843
1,56604
3,86881
4,18458
2,27884
2,47620
11,19296
10,14739
5,52759
9,20014
7,15272
5,35537
12,11391
1,26279
1,19056
4,15323
2,29652
7,15105
9,17547
1,46176
1,18198
5,14944
9,11796
11,6557
6,17179
5,7247
7,13878
7,34690
2,6783
5,14249
5,16535
1,11898
4,19806
10,13034
5,18785
5,13883
7,19846
2,10402
8,7139
9,34301
11,10079
9,5798
7,7791
9,7255
6,7239
9,10173
5,11117
6,11576
2,3378
9,19548
5,17550
9,16562
2,20708
10,9645
12,10265
11,15859
6,7487
4,3647
4,9643
3,11308
4,12937
8,7368
11,7024
11,7051
2,23793
10,12116
8,13096
5,12748
10,9654
3,15962
12,6041
8,22957
9,20582
8,4011
3,3556
3,1978
9,5234
9,8754
10,11701
6,6561
10,2567
5,16114
9,15199
4,1942
5,9949
4,19241
12,9326
9,4733
10,13070
6,9360
8,14702
10,8423
9,6734
2,8421
12,14993
9,6170
2,14935
7,2943
6,9096
3,6037
4,3423
8,11746
9,4997
5,5325
6,13449
6,9004
11,3703
1,4975
1,7203
1,4265
9,10063
3,13491
4,12017
4,5384
5,5220
2,3532
9,10475
6,5513
11,3768
10,6241
4,1691
4,4080
10,8251
9,12203
9,9396
8,8841
6,5828
9,18865
9,5860
9,4478
2,4392
6,4196
9,6358
5,3247
1,5869
12,2409
4,6613
11,4058
4,15790
8,6253
6,3407
1,12452
8,11121
5,9536
8,13012
7,4137
10,5609
9,10160
6,6245
11,8890
6,4131
3,3358
2,9489
9,4972
9,4570
9,10821
4,4986
11,4873
10,2850
1,3463
12,3496
3,7656
8,8130
6,2816
10,6216
3,4549
10,3885
1,3485
6,4260
12,2123
3,6599
6,6795
7,4802
8,6637
7,4922
12,8207
9,3293
3,1575
8,6612
5,7624
6,4432
1,5418
9,2671
1,9427
8,1226
12,8119
3,3473
6,2088
10,5595
9,6261
10,3010
8,5139
12,3781
5,984
1,2365
5,5762
4,3724
8,4711
1,4994
7,6243
4,2192
11,4750
4,6446
8,9143
5,3962
3,4453
8,9026
2,4087
1,6198
8,7012
2,8463
8,2720
8,3267
3,5325
9,1513
4,3141
1,2806
11,2257
5,6730
9,1489
10,2471
4,4193
2,9547
10,3490
4,2558
6,1625
6,3382
8,5711
9,5728
10,1546
6,8131
11,5760
4,3087
9,8457
4,8782
8,5455
6,1776
6,3096
4,2558
5,1063
4,1753
10,2595
7,2513
9,3915
2,2013
3,1617
9,5852
5,10380
4,6300
9,6118
9,7468
5,4243
9,9341
9,5507
6,5452
4,3303
5,8009
8,4267
7,1047
8,5294
1,3422
4,3652
2,2080
10,4496
2,2801
10,5578
8,5295
6,2034
12,3198
4,3229
7,2883
4,2038
1,2156
11,1667
9,2237
2,8711
4,8549
7,6140
3,5290
7,3139
1,3124
12,2866
6,1708
2,2028
6,2502
6,8718
9,2678
3,4746
8,4037
2,1008
5,2565
9,6830
2,2598
4,2833
7,1673
10,1028
1,2897
11,7546
10,5966
5,1427
12,7277
5,11457
2,2070
4,4133
10,1282
5,9777
9,2261
9,3892
2,2859
11,5696
11,1962
6,2082
9,4005
10,5039
2,2689
3,3536
2,5168
10,7778
4,2510
11,1604
4,3685
12,6561
3,3691
8,3992
12,3838
2,3811
6,1820
7,4076
5,2689
9,5659
1,2286
6,5677
6,1878
9,1550
1,3815
2,7615
12,2382
7,4091
6,2552
10,1447
3,7357
5,2733
7,2359
4,1928
2,8068
4,947
3,6149
