text_reviews_count,  num_pages
94265,501
32871,366
43499,277
21303,736
36325,435
34692,341
29221,870
13670,398
29677,122
27591,652
26199,182
14637,368
47951,375
25554,103
35877,489
55843,197
56604,208
86881,552
18458,449
27884,532
47620,368
19296,434
14739,184
52759,335
20014,288
15272,214
35537,226
11391,327
26279,302
19056,275
15323,1037
29652,423
15105,659
17547,233
46176,288
18198,207
14944,488
11796,331
6557,541
17179,272
7247,432
13878,456
34690,850
6783,244
14249,1276
16535,969
11898,301
19806,279
13034,320
18785,264
13883,320
19846,546
10402,279
7139,289
34301,241
10079,368
5798,322
7791,249
7255,288
7239,176
10173,240
11117,474
11576,240
3378,76
19548,529
17550,401
16562,196
20708,425
9645,276
10265,671
15859,336
7487,322
3647,480
9643,295
11308,249
12937,296
7368,342
7024,372
7051,370
23793,447
12116,291
13096,162
12748,306
9654,218
15962,635
6041,239
22957,288
20582,342
4011,449
3556,566
1978,483
5234,92
8754,232
11701,368
6561,244
2567,176
16114,496
15199,370
1942,400
9949,311
19241,326
9326,374
4733,146
13070,348
9360,563
14702,1168
8423,188
6734,311
8421,96
14993,397
6170,446
14935,269
2943,481
9096,465
6037,143
3423,683
11746,248
4997,222
5325,751
13449,165
9004,324
3703,503
4975,32
7203,172
4265,314
10063,704
13491,440
12017,208
5384,376
5220,424
3532,72
10475,393
5513,128
3768,576
6241,528
1691,358
4080,815
8251,320
12203,296
9396,544
8841,512
5828,191
18865,406
5860,212
4478,228
4392,242
4196,224
6358,467
3247,348
5869,273
2409,107
6613,404
4058,296
15790,559
6253,446
3407,376
12452,467
11121,743
9536,219
13012,352
4137,283
5609,176
10160,291
6245,1392
8890,370
4131,320
3358,245
9489,235
4972,356
4570,592
10821,515
4986,836
4873,159
2850,327
3463,198
3496,342
7656,418
8130,870
2816,432
6216,374
4549,192
3885,121
3485,306
4260,140
2123,342
6599,338
6795,796
4802,256
6637,382
4922,399
8207,403
3293,342
1575,72
6612,438
7624,445
4432,512
5418,127
2671,624
9427,312
1226,821
8119,441
3473,679
2088,411
5595,194
6261,208
3010,195
5139,463
3781,233
984,503
2365,504
5762,240
3724,255
4711,729
4994,201
6243,386
2192,224
4750,386
6446,540
9143,639
3962,335
4453,345
9026,329
4087,1023
6198,96
7012,229
8463,485
2720,481
3267,168
5325,464
1513,320
3141,352
2806,338
2257,352
6730,384
1489,419
2471,1007
4193,400
9547,229
3490,197
2558,160
1625,400
3382,422
5711,322
5728,448
1546,442
8131,153
5760,405
3087,394
8457,267
8782,182
5455,880
1776,75
3096,340
2558,510
1063,200
1753,528
2595,128
2513,272
3915,390
2013,416
1617,688
5852,310
10380,444
6300,369
6118,916
7468,653
4243,469
9341,240
5507,216
5452,210
3303,368
8009,198
4267,289
1047,340
5294,1443
3422,119
3652,352
2080,560
4496,375
2801,931
5578,498
5295,276
2034,256
3198,482
3229,341
2883,321
2038,32
2156,144
1667,448
2237,288
8711,227
8549,358
6140,309
5290,232
3139,592
3124,252
2866,128
1708,256
2028,890
2502,313
8718,351
2678,332
4746,224
4037,355
1008,461
2565,32
6830,197
2598,453
2833,675
1673,912
1028,464
2897,198
7546,603
5966,296
1427,192
7277,105
11457,357
2070,359
4133,335
1282,469
9777,255
2261,228
3892,192
2859,416
5696,960
1962,1011
2082,336
4005,278
5039,416
2689,387
3536,329
5168,672
7778,326
2510,240
1604,880
3685,391
6561,356
3691,480
3992,980
3838,267
3811,433
1820,337
4076,231
2689,409
5659,288
2286,867
5677,448
1878,326
1550,1728
3815,274
7615,434
2382,387
4091,416
2552,96
1447,2088
7357,705
2733,432
2359,331
1928,416
8068,374
947,306
6149,818
1186,612
3718,243
3909,181
4017,370
1581,320
2089,407
4453,370
2760,667
1394,167
2466,288
6654,169
4663,291
3246,207
1731,321
2747,517
4662,232
2031,277
